Time,VII_Lg,IX_Lg,P15,P16,3x_h2,3x_o2,4x_h2,4x_o2,25x_h2,25x_o2,35x_h2,35x_o2,VIIx_h2,VIIx_o2,IXx_h2,IXx_o2,XIIIx_h2,XIIIx_o2,
          0.10000000,          0.29999974,          0.29999974,    2999997.41990714,    2999997.43182228,          0.00000027,          0.00000000,          0.00000000,          0.00000014,          1.00000000,          0.00000000,          0.00000000,          1.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          0.20000000,          0.29999948,          0.29999948,    2999994.80023400,    2999994.81213935,          0.00000054,          0.00000000,          0.00000001,          0.00000027,          1.00000000,          0.00000000,          0.00000000,          1.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          0.30000000,          0.29999922,          0.29999922,    2999992.18088209,    2999992.19278364,          0.00000081,          0.00000000,          0.00000001,          0.00000041,          1.00000000,          0.00000000,          0.00000000,          1.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          0.40000000,          0.29999896,          0.29999896,    2999989.56160867,    2999989.57351190,          0.00000108,          0.00000000,          0.00000001,          0.00000055,          1.00000000,          0.00000000,          0.00000000,          1.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          0.50000000,          0.29999869,          0.29999870,    2999986.94237861,    2999986.95428387,          0.00000135,          0.00000000,          0.00000002,          0.00000069,          1.00000000,          0.00000000,          0.00000000,          1.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          0.60000000,          0.29999843,          0.29999843,    2999984.32319764,    2999984.33510526,          0.00000163,          0.00000000,          0.00000002,          0.00000082,          1.00000000,          0.00000000,          0.00000000,          1.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          0.70000000,          0.29999817,          0.29999817,    2999981.70407046,    2999981.71598073,          0.00000190,          0.00000000,          0.00000002,          0.00000096,          1.00000000,          0.00000000,          0.00000000,          1.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          0.80000000,          0.29999791,          0.29999791,    2999979.08500095,    2999979.09691415,          0.00000217,          0.00000000,          0.00000003,          0.00000110,          1.00000000,          0.00000000,          0.00000000,          1.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          0.90000000,          0.29999765,          0.29999765,    2999976.46599231,    2999976.47790870,          0.00000244,          0.00000000,          0.00000003,          0.00000124,          1.00000000,          0.00000000,          0.00000000,          1.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          1.00000000,          0.29999738,          0.29999739,    2999973.84704721,    2999973.85896704,          0.00000271,          0.00000000,          0.00000004,          0.00000137,          1.00000000,          0.00000000,          0.00000000,          1.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          1.10000000,          0.29999712,          0.29999712,    2999971.22816788,    2999971.24009138,          0.00000298,          0.00000000,          0.00000004,          0.00000151,          1.00000000,          0.00000000,          0.00000000,          1.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          1.20000000,          0.29999686,          0.29999686,    2999968.60935622,    2999968.62128362,          0.00000325,          0.00000000,          0.00000004,          0.00000165,          1.00000000,          0.00000000,          0.00000000,          1.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          1.30000000,          0.29999660,          0.29999660,    2999965.99061385,    2999966.00254538,          0.00000352,          0.00000000,          0.00000005,          0.00000178,          1.00000000,          0.00000000,          0.00000000,          1.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          1.40000000,          0.29999634,          0.29999634,    2999963.37194216,    2999963.38387803,          0.00000379,          0.00000000,          0.00000005,          0.00000192,          1.00000000,          0.00000000,          0.00000000,          1.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          1.50000000,          0.29999608,          0.29999608,    2999960.75334237,    2999960.76528280,          0.00000406,          0.00000000,          0.00000005,          0.00000206,          1.00000000,          0.00000000,          0.00000000,          1.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          1.60000000,          0.29999581,          0.29999581,    2999958.13481556,    2999958.14676076,          0.00000433,          0.00000000,          0.00000006,          0.00000220,          1.00000000,          0.00000000,          0.00000000,          1.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          1.70000000,          0.29999555,          0.29999555,    2999955.51636269,    2999955.52831287,          0.00000460,          0.00000000,          0.00000006,          0.00000233,          1.00000000,          0.00000000,          0.00000000,          1.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          1.80000000,          0.29999529,          0.29999529,    2999952.89798462,    2999952.90993999,          0.00000487,          0.00000000,          0.00000007,          0.00000247,          1.00000000,          0.00000000,          0.00000000,          1.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          1.90000000,          0.29999503,          0.29999503,    2999950.27968216,    2999950.29164293,          0.00000514,          0.00000000,          0.00000007,          0.00000261,          1.00000000,          0.00000000,          0.00000001,          0.99999999,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          2.00000000,          0.29999477,          0.29999477,    2999947.66145604,    2999947.67342242,          0.00000542,          0.00000000,          0.00000007,          0.00000274,          1.00000000,          0.00000000,          0.00000001,          0.99999999,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          2.10000000,          0.29999450,          0.29999450,    2999945.04330696,    2999945.05527916,          0.00000569,          0.00000000,          0.00000008,          0.00000288,          1.00000000,          0.00000000,          0.00000001,          0.99999999,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
